file	line	occurrence_text	bucket	action
tests/phase-11/test_04_advisory_only.sh	54	wiki/ (advisory-only	1-cloud	wiki-cloud/
tests/phase-11/test_04_never_flips_privacy.sh	19	"wiki/"" 2>/dev/null |"	1-cloud	wiki-cloud/
tests/phase-11/test_04_never_flips_privacy.sh	31	"wiki/"" 2>/dev/null |"	1-cloud	wiki-cloud/
tests/phase-11/test_end_to_end_happy_path.sh	84	"wiki/"" \"	1-cloud	wiki-cloud/
tests/phase-11/test_end_to_end_happy_path.sh	85	"wiki/"" \"	1-cloud	wiki-cloud/
tests/phase-11/test_suggest_respects_brownfield_ignore.sh	6	wiki/concepts/foo.md	1-cloud	wiki-cloud/
tests/phase-11/test_suggest_respects_brownfield_ignore.sh	28	wiki/concepts/foo.md	1-cloud	wiki-cloud/
tests/phase-11/test_suggest_respects_brownfield_ignore.sh	29	wiki/concepts/foo\.m	1-cloud	wiki-cloud/
tests/phase-11/test_suggest_respects_brownfield_ignore.sh	31	wiki/concepts/foo.md	1-cloud	wiki-cloud/
tests/phase-11/test_verify_promote_5_gates.sh	23	"wiki/concepts"""	1-cloud	wiki-cloud/
tests/phase-11/test_verify_promote_5_gates.sh	24	wiki/concepts/broken	1-cloud	wiki-cloud/
tests/phase-11/test_verify_promote_5_gates.sh	66	"wiki/"" | wc -l)"	1-cloud	wiki-cloud/
tests/phase-11/test_verify_promote_5_gates.sh	73	wiki/concepts/framin	1-cloud	wiki-cloud/
tests/phase-11/test_verify_promote_5_gates.sh	76	wiki/concepts/framin	1-cloud	wiki-cloud/
tests/phase-11/test_verify_promote_5_gates.sh	82	wiki/concepts/broken	1-cloud	wiki-cloud/
tests/phase-11/test_verify_promote_gate5_pending.sh	25	wiki/concepts/*.md;	1-cloud	wiki-cloud/
tests/phase-11/test_verify_promote_gate5_pending.sh	28	wiki/entities/*.md;	1-cloud	wiki-cloud/
tests/phase-11/test_verify_promote_gate5_pending.sh	31	wiki/overviews/*.md;	1-cloud	wiki-cloud/
tests/phase-11/test_verify_promote_gate5_pending.sh	58	"wiki/"" 2>/dev/null |"	1-cloud	wiki-cloud/
tests/phase-11/test_verify_readonly_default.sh	29	wiki/')	1-cloud	wiki-cloud/
tests/phase-11/test_verify_readonly_default.sh	31	wiki/ (read-only con	1-cloud	wiki-cloud/
tests/phase-11/test_verify_readonly_default.sh	37	"wiki/""; then"	1-cloud	wiki-cloud/
tests/phase-12.1/test_neut08_live_denylist_contract.sh	50	"wiki/leak.md"""	1-cloud	wiki-cloud/
tests/phase-12.1/test_neut08_live_denylist_contract.sh	70	"wiki/leak.md"" <<'PY'"	1-cloud	wiki-cloud/
tests/phase-12.2/test_hook_ordering_sync_then_gate.sh	13	wiki/concepts/foo.md	1-cloud	wiki-cloud/
tests/phase-12.2/test_hook_ordering_sync_then_gate.sh	34	wiki/sources/src-202	1-cloud	wiki-cloud/
tests/phase-12.2/test_hook_ordering_sync_then_gate.sh	62	wiki/sources/src-202	1-cloud	wiki-cloud/
tests/phase-12.2/test_hook_ordering_sync_then_gate.sh	72	wiki/concepts/foo.md	1-cloud	wiki-cloud/
tests/phase-12.2/test_hook_ordering_sync_then_gate.sh	95	wiki/concepts/foo.md	1-cloud	wiki-cloud/
tests/phase-12.2/test_hook_ordering_sync_then_gate.sh	95	wiki/concepts/foo.md	1-cloud	wiki-cloud/
tests/phase-12.2/test_hook_ordering_sync_then_gate.sh	139	wiki/concepts/foo.md	1-cloud	wiki-cloud/
tests/phase-12.2/test_hook_ordering_sync_then_gate.sh	163	wiki/concepts/foo.md	1-cloud	wiki-cloud/
tests/phase-12.2/test_no_verify_bypass_smoke.sh	21	wiki/concepts/foo.md	1-cloud	wiki-cloud/
tests/phase-12.2/test_no_verify_bypass_smoke.sh	44	wiki/concepts/foo.md	1-cloud	wiki-cloud/
